,Players,Values,Team
367,Tyrell Malacia,€15.00m,manchester united
368,Harry Amass,0,manchester united
369,Diogo Dalot,€40.00m,manchester united
370,Noussair Mazraoui,€32.00m,manchester united
371,Manuel Ugarte,€50.00m,manchester united
372,Casemiro,€12.00m,manchester united
373,Toby Collyer,€3.00m,manchester united
374,Kobbie Mainoo,€55.00m,manchester united
375,Christian Eriksen,€6.00m,manchester united
376,Daniel Gore,€900k,manchester united
377,Bruno Fernandes,€55.00m,manchester united
378,Mason Mount,€32.00m,manchester united
379,Marcus Rashford,€55.00m,manchester united
380,Alejandro Garnacho,€50.00m,manchester united
381,Amad Diallo,€25.00m,manchester united
382,Antony,€20.00m,manchester united
383,Rasmus Højlund,€60.00m,manchester united
384,Joshua Zirkzee,€42.00m,manchester united
385,Ethan Wheatley,0,manchester united
386,Nick Pope,€14.00m,newcastle united
387,Odysseas Vlachodimos,€7.00m,newcastle united
388,Martin Dúbravka,€1.00m,newcastle united
389,Mark Gillespie,€300k,newcastle united
390,John Ruddy,€200k,newcastle united
391,Sven Botman,€45.00m,newcastle united
392,Lloyd Kelly,€18.00m,newcastle united
393,Fabian Schär,€9.00m,newcastle united
394,Dan Burn,€7.00m,newcastle united
395,Jamaal Lascelles,€6.00m,newcastle united
396,Lewis Hall,€25.00m,newcastle united
397,Matt Targett,€8.00m,newcastle united
398,Jamal Lewis,€3.00m,newcastle united
399,Tino Livramento,€35.00m,newcastle united
400,Kieran Trippier,€8.00m,newcastle united
401,Emil Krafth,€2.50m,newcastle united
402,Bruno Guimarães,€80.00m,newcastle united
403,Joelinton,€40.00m,newcastle united
404,Sandro Tonali,€38.00m,newcastle united
405,Joe Willock,€28.00m,newcastle united
406,Sean Longstaff,€25.00m,newcastle united
407,Lewis Miley,€22.00m,newcastle united
408,Anthony Gordon,€60.00m,newcastle united
409,Harvey Barnes,€35.00m,newcastle united
410,Miguel Almirón,€16.00m,newcastle united
411,Jacob Murphy,€14.00m,newcastle united
412,Alexander Isak,€75.00m,newcastle united
413,Callum Wilson,€11.00m,newcastle united
414,William Osula,€7.00m,newcastle united
415,Matz Sels,€7.00m,nottingham forest
416,Carlos Miguel,€4.00m,nottingham forest
417,Wayne Hennessey,€175k,nottingham forest
418,Murillo,€50.00m,nottingham forest
419,Nikola Milenković,€25.00m,nottingham forest
420,Morato,€15.00m,nottingham forest
421,Andrew Omobamidele,€11.00m,nottingham forest
422,Willy Boly,€2.00m,nottingham forest
423,Álex Moreno,€11.00m,nottingham forest
424,Harry Toffolo,€5.00m,nottingham forest
425,Neco Williams,€17.00m,nottingham forest
426,Ola Aina,€14.00m,nottingham forest
427,Ibrahim Sangaré,€28.00m,nottingham forest
428,Danilo,€28.00m,nottingham forest
429,Elliot Anderson,€24.00m,nottingham forest
430,Nicolás Domínguez,€17.00m,nottingham forest
431,James Ward-Prowse,€16.00m,nottingham forest
432,Ryan Yates,€13.00m,nottingham forest
433,Lewis O'Brien,€5.00m,nottingham forest
434,Eric da Silva Moreira,€1.00m,nottingham forest
435,Morgan Gibbs-White,€40.00m,nottingham forest
436,Callum Hudson-Odoi,€24.00m,nottingham forest
437,Jota Silva,€14.00m,nottingham forest
438,Ramón Sosa,€13.00m,nottingham forest
439,Anthony Elanga,€25.00m,nottingham forest
440,Taiwo Awoniyi,€22.00m,nottingham forest
441,Chris Wood,€7.00m,nottingham forest
442,Emmanuel Dennis,€4.00m,nottingham forest
443,Aaron Ramsdale,€20.00m,fc southampton
444,Gavin Bazunu,€14.00m,fc southampton
445,Joe Lumley,€600k,fc southampton
446,Alex McCarthy,€500k,fc southampton
447,Taylor Harwood-Bellis,€25.00m,fc southampton
448,Armel Bella-Kotchap,€12.00m,fc southampton
449,Jan Bednarek,€11.00m,fc southampton
450,Nathan Wood,€3.80m,fc southampton
451,Jack Stephens,€2.00m,fc southampton
452,Joachim Kayi Sanda,€800k,fc southampton
453,Juan Larios,€4.50m,fc southampton
454,Ryan Manning,€3.50m,fc southampton
455,Welington,€3.50m,fc southampton
456,Charlie Taylor,€2.80m,fc southampton
457,Kyle Walker-Peters,€20.00m,fc southampton
458,Yukinari Sugawara,€12.00m,fc southampton
459,James Bree,€2.50m,fc southampton
460,Lesley Ugochukwu,€25.00m,fc southampton
461,Flynn Downes,€15.00m,fc southampton
462,Mateus Fernandes,€15.00m,fc southampton
463,Albert Grønbaek,€15.00m,fc southampton
464,Will Smallbone,€7.00m,fc southampton
465,Joe Aribo,€6.00m,fc southampton
466,Adam Lallana,€900k,fc southampton
467,Kamaldeen Sulemana,€13.00m,fc southampton
468,Ryan Fraser,€3.00m,fc southampton
469,Tyler Dibling,€22.00m,fc southampton
470,Samuel Amo-Ameyaw,€300k,fc southampton
471,Adam Armstrong,€16.00m,fc southampton
472,Cameron Archer,€14.00m,fc southampton
473,Paul Onuachu,€11.00m,fc southampton
474,Ross Stewart,€4.50m,fc southampton
475,Guglielmo Vicario,€35.00m,tottenham hotspur
476,Antonín Kinský,€12.00m,tottenham hotspur
477,Fraser Forster,€1.20m,tottenham hotspur
478,Brandon Austin,€600k,tottenham hotspur
479,Alfie Whiteman,€500k,tottenham hotspur
480,Cristian Romero,€65.00m,tottenham hotspur
481,Micky van de Ven,€55.00m,tottenham hotspur
482,Radu Drăgușin,€25.00m,tottenham hotspur
483,Ben Davies,€8.00m,tottenham hotspur
484,Destiny Udogie,€45.00m,tottenham hotspur
485,Sergio Reguilón,€11.00m,tottenham hotspur
486,Pedro Porro,€45.00m,tottenham hotspur
487,Archie Gray,€25.00m,tottenham hotspur
488,Djed Spence,€8.00m,tottenham hotspur
489,Yves Bissouma,€35.00m,tottenham hotspur
490,Rodrigo Bentancur,€35.00m,tottenham hotspur
491,Pape Matar Sarr,€45.00m,tottenham hotspur
492,Lucas Bergvall,€12.00m,tottenham hotspur
493,James Maddison,€60.00m,tottenham hotspur
494,Dejan Kulusevski,€60.00m,tottenham hotspur
495,Heung-min Son,€38.00m,tottenham hotspur
