Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
263,Iker Benito,es ESP,"FW,MF",Osasuna,es La Liga,22-173,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
264,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,27-060,1997,2.8,0,3,2,66.7,1.06,0.71,0.00,0.00,31.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
265,Saïd Benrahma,dz ALG,"FW,MF",Lyon,fr Ligue 1,29-173,1995,8.2,1,17,4,23.5,2.08,0.49,0.06,0.25,20.2,1,0,0,2.0,2.0,0.12,-1.0,-1.0,Matches
266,Ramy Bensebaini,dz ALG,DF,Dortmund,de Bundesliga,29-289,1995,11.8,1,10,2,20.0,0.85,0.17,0.10,0.50,14.8,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
267,Rodrigo Bentancur,uy URU,MF,Tottenham,eng Premier League,27-219,1997,8.6,2,15,3,20.0,1.74,0.35,0.13,0.67,20.1,0,0,0,0.8,0.8,0.06,+1.2,+1.2,Matches
268,Lucas Beraldo,br BRA,DF,Paris S-G,fr Ligue 1,21-067,2003,12.1,1,5,3,60.0,0.41,0.25,0.20,0.33,13.4,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches
269,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,34-355,1990,13.2,0,10,3,30.0,0.76,0.23,0.00,0.00,24.7,2,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
270,Álex Berenguer,es ESP,"FW,MF",Athletic Club,es La Liga,29-210,1995,13.2,5,32,12,37.5,2.43,0.91,0.16,0.42,17.7,0,0,1,5.4,4.6,0.14,-0.4,+0.4,Matches
271,Sander Berge,no NOR,MF,Fulham,eng Premier League,26-351,1998,12.6,0,1,0,0.0,0.08,0.00,0.00,,6.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
272,Lucas Bergvall,se SWE,MF,Tottenham,eng Premier League,18-363,2006,6.2,0,4,0,0.0,0.64,0.00,0.00,,22.6,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
273,Medon Berisha,al ALB,MF,Lecce,it Serie A,21-101,2003,2.7,0,9,4,44.4,3.36,1.49,0.00,0.00,29.6,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
274,Mergim Berisha,de GER,"FW,MF",Hoffenheim,de Bundesliga,26-264,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16.0,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches
275,Adrian Bernabe,es ESP,MF,Parma,it Serie A,23-249,2001,10.0,0,19,1,5.3,1.91,0.10,0.00,0.00,27.3,5,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
276,Marc Bernal,es ESP,MF,Barcelona,es La Liga,17-249,2007,2.7,0,2,1,50.0,0.74,0.37,0.00,0.00,26.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
277,Bernardo,br BRA,DF,Bochum,de Bundesliga,29-261,1995,7.8,0,2,1,50.0,0.26,0.13,0.00,0.00,7.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
278,Juan Bernat,es ESP,"DF,MF",Villarreal,es La Liga,31-335,1993,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
279,Alexander Bernhardsson,se SWE,"MF,DF",Holstein Kiel,de Bundesliga,26-144,1998,6.1,2,10,4,40.0,1.65,0.66,0.20,0.50,16.0,0,0,0,1.3,1.3,0.13,+0.7,+0.7,Matches
280,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,eng Premier League,22-045,2002,19.5,0,1,0,0.0,0.05,0.00,0.00,,16.7,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
281,Matúš Bero,sk SVK,MF,Bochum,de Bundesliga,29-146,1995,15.2,3,13,5,38.5,0.85,0.33,0.23,0.60,17.1,0,0,0,1.5,1.5,0.11,+1.5,+1.5,Matches
282,Juan Berrocal,es ESP,DF,Getafe,es La Liga,25-271,1999,6.8,0,2,0,0.0,0.29,0.00,0.00,,10.3,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
283,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26-238,1998,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
284,Beto,gw GNB,FW,Everton,eng Premier League,26-365,1998,3.5,1,12,4,33.3,3.41,1.14,0.08,0.25,11.4,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
285,Sam Beukema,nl NED,DF,Bologna,it Serie A,26-074,1998,20.5,0,9,3,33.3,0.44,0.15,0.00,0.00,10.5,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
286,Alessandro Bianco,it ITA,MF,Monza,it Serie A,22-121,2002,15.0,1,17,3,17.6,1.13,0.20,0.06,0.33,21.4,0,0,0,1.1,1.1,0.06,-0.1,-0.1,Matches
287,Alessandro Bianco,it ITA,MF,Fiorentina,it Serie A,22-121,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
288,Mika Biereth,dk DEN,FW,Monaco,fr Ligue 1,21-357,2003,2.0,1,8,5,62.5,4.00,2.50,0.13,0.20,13.5,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
289,Jaka Bijol,si SVN,DF,Udinese,it Serie A,25-360,1999,20.0,1,14,4,28.6,0.70,0.20,0.07,0.25,13.1,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
290,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,de Bundesliga,23-119,2001,3.5,2,14,4,28.6,4.01,1.15,0.14,0.50,15.2,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches
291,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,28-233,1996,2.0,0,5,1,20.0,2.45,0.49,0.00,0.00,17.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
292,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,32-151,1992,4.8,1,5,2,40.0,1.04,0.42,0.20,0.50,26.2,3,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
293,Samuele Birindelli,it ITA,"DF,MF",Monza,it Serie A,25-195,1999,6.2,1,5,4,80.0,0.81,0.65,0.20,0.25,14.8,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches
294,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,19-216,2005,14.8,2,25,8,32.0,1.68,0.54,0.08,0.25,22.1,1,0,0,1.0,1.0,0.04,+1.0,+1.0,Matches
295,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,28-153,1996,10.8,2,5,2,40.0,0.46,0.19,0.40,1.00,22.7,0,0,0,0.4,0.4,0.07,+1.6,+1.6,Matches
296,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,31-042,1993,6.6,1,19,6,31.6,2.90,0.92,0.05,0.17,22.1,1,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
297,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,19-267,2005,11.6,1,3,2,66.7,0.26,0.17,0.33,0.50,6.9,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
298,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-326,1991,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
299,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,it Serie A,24-264,2000,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
300,Antonio Blanco,es ESP,MF,Alavés,es La Liga,24-191,2000,14.8,0,14,1,7.1,0.95,0.07,0.00,0.00,24.4,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
301,Ludovic Blas,fr FRA,"MF,FW",Rennes,fr Ligue 1,27-030,1997,17.4,5,43,22,51.2,2.48,1.27,0.12,0.23,17.2,1,0,0,4.1,4.1,0.09,+0.9,+0.9,Matches
302,Daley Blind,nl NED,DF,Girona,es La Liga,34-327,1990,15.4,0,4,2,50.0,0.26,0.13,0.00,0.00,19.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
303,Myron Boadu,nl NED,FW,Bochum,de Bundesliga,24-016,2001,5.7,5,15,7,46.7,2.61,1.22,0.27,0.57,12.4,0,1,1,4.5,3.7,0.25,+0.5,+0.3,Matches
304,Augustine Boakye,gh GHA,"MF,FW",Saint-Étienne,fr Ligue 1,24-088,2000,6.3,3,19,9,47.4,3.01,1.42,0.16,0.33,20.0,1,0,0,1.4,1.4,0.08,+1.6,+1.6,Matches
305,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,24-139,2000,3.1,0,1,0,0.0,0.32,0.00,0.00,,14.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
306,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,28-027,1997,6.9,0,17,9,52.9,2.46,1.30,0.00,0.00,16.0,2,0,0,1.3,1.3,0.08,-1.3,-1.3,Matches
