Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
2098,Kevin Schade,de GER,FW,Brentford,eng Premier League,23-064,2001,11.9,241,225,16,0,1,1,18,13,0,0,0,0,141,0,12,Matches
2099,András Schäfer,hu HUN,MF,Union Berlin,de Bundesliga,25-292,1999,8.8,350,334,13,2,0,1,7,3,0,0,0,0,268,3,11,Matches
2100,Fabian Schär,ch SUI,DF,Newcastle Utd,eng Premier League,33-041,1991,17.8,1140,1086,47,43,3,18,4,4,0,0,0,0,955,7,6,Matches
2101,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,29-006,1996,8.7,199,190,9,0,0,0,0,1,0,0,0,0,152,0,6,Matches
2102,Stefan Schimmer,de GER,FW,Heidenheim,de Bundesliga,30-277,1994,2.0,42,40,2,0,0,0,3,0,0,0,0,0,26,0,4,Matches
2103,Joël Schingtienne,be BEL,DF,Venezia,it Serie A,22-171,2002,1.0,32,31,1,1,0,0,0,0,0,0,0,0,30,0,0,Matches
2104,Xaver Schlager,at AUT,MF,RB Leipzig,de Bundesliga,27-124,1997,2.0,98,94,3,3,1,1,1,0,0,0,0,0,85,1,0,Matches
2105,Keven Schlotterbeck,de GER,DF,Augsburg,de Bundesliga,27-277,1997,11.7,558,534,22,13,2,5,1,0,0,0,0,0,469,2,3,Matches
2106,Nico Schlotterbeck,de GER,DF,Dortmund,de Bundesliga,25-060,1999,16.0,1546,1441,103,35,2,13,5,27,0,0,0,0,1391,2,15,Matches
2107,Jeffrey Schlupp,gh GHA,"MF,DF",Crystal Palace,eng Premier League,32-038,1992,1.1,50,47,3,0,0,0,4,3,0,0,0,0,39,0,0,Matches
2108,Romano Schmid,at AUT,MF,Werder Bremen,de Bundesliga,25-003,2000,18.8,1000,965,27,8,12,5,70,11,8,2,4,0,764,8,21,Matches
2109,Niklas Schmidt,de GER,MF,Toulouse,fr Ligue 1,26-335,1998,2.3,180,166,14,2,0,3,16,0,12,5,7,0,142,0,4,Matches
2110,Jan Schöppner,de GER,MF,Heidenheim,de Bundesliga,25-232,1999,17.3,613,600,12,3,2,7,6,9,0,0,0,0,463,1,17,Matches
2111,Marvin Schulz,de GER,"DF,MF",Holstein Kiel,de Bundesliga,30-015,1995,2.9,150,127,22,12,0,0,12,0,10,4,3,0,118,1,0,Matches
2112,Alexander Schwolow,de GER,GK,Union Berlin,de Bundesliga,32-242,1992,5.0,160,127,32,6,0,0,0,0,0,0,0,0,122,1,0,Matches
2113,Léo Scienza,br BRA,"FW,MF",Heidenheim,de Bundesliga,26-139,1998,9.3,267,197,69,30,1,0,57,17,20,9,8,0,176,1,8,Matches
2114,Alex Scott,eng ENG,MF,Bournemouth,eng Premier League,21-162,2003,2.9,132,128,3,2,0,1,0,0,0,0,0,0,116,1,4,Matches
2115,Simone Scuffet,it ITA,GK,Cagliari,it Serie A,28-244,1996,13.0,407,264,140,40,0,0,0,1,0,0,0,0,286,3,0,Matches
2116,Jérémy Sebas,mq MTQ,"FW,MF",Strasbourg,fr Ligue 1,21-291,2003,2.0,36,35,1,0,0,0,2,0,0,0,0,0,25,0,3,Matches
2117,Aleksandar Sedlar,rs SRB,DF,Alavés,es La Liga,33-048,1991,4.7,157,148,9,5,0,1,0,2,0,0,0,0,124,0,1,Matches
2118,Jacopo Seghetti,it ITA,GK,Empoli,it Serie A,19-348,2005,1.0,22,15,6,1,0,0,0,0,0,0,0,0,14,1,0,Matches
2119,Alidu Seidu,gh GHA,DF,Rennes,fr Ligue 1,24-240,2000,8.9,518,435,81,19,1,3,4,56,0,0,0,0,426,2,7,Matches
2120,Nicolas Seiwald,at AUT,"DF,MF",RB Leipzig,de Bundesliga,23-271,2001,11.3,687,642,43,23,0,3,26,5,14,2,10,0,566,2,8,Matches
2121,Hiroki Sekine,jp JPN,FW,Reims,fr Ligue 1,22-172,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2122,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,32-339,1992,23.0,597,372,218,60,0,0,0,0,0,0,0,0,310,7,0,Matches
2123,Nélson Semedo,pt POR,DF,Wolves,eng Premier League,31-075,1993,17.9,764,654,107,7,0,3,32,100,0,0,0,0,617,3,20,Matches
2124,Antoine Semenyo,gh GHA,FW,Bournemouth,eng Premier League,25-023,2000,21.4,662,624,32,2,6,5,39,29,1,0,0,0,480,6,26,Matches
2125,Marvin Senaya,tg TOG,DF,Strasbourg,fr Ligue 1,24-002,2001,2.5,138,109,27,5,0,0,1,22,0,0,0,0,110,2,4,Matches
2126,Marcos Senesi,ar ARG,DF,Bournemouth,eng Premier League,27-265,1997,10.2,578,547,26,20,0,1,7,5,0,0,0,0,440,5,1,Matches
2127,Stefano Sensi,it ITA,MF,Monza,it Serie A,29-178,1995,1.4,130,125,4,4,0,1,3,0,0,0,0,0,112,1,1,Matches
2128,Suat Serdar,de GER,MF,Hellas Verona,it Serie A,27-294,1997,9.9,321,306,11,7,3,4,3,2,2,0,0,0,243,4,12,Matches
2129,Sergi,es ESP,DF,Leganés,es La Liga,32-285,1992,20.5,989,952,34,34,0,5,1,0,0,0,0,0,828,3,4,Matches
2130,Nicolás Serrano,es ESP,FW,Athletic Club,es La Liga,21-331,2003,1.2,44,37,7,2,0,0,13,0,5,4,0,0,25,0,0,Matches
2131,Benjamin Šeško,si SVN,"FW,MF",RB Leipzig,de Bundesliga,21-244,2003,14.2,338,323,13,0,2,0,2,3,0,0,0,0,235,2,14,Matches
2132,Ryan Sessegnon,eng ENG,MF,Fulham,eng Premier League,24-257,2000,0.1,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
2133,Stephan El Shaarawy,it ITA,"DF,MF",Roma,it Serie A,32-095,1992,8.7,375,329,43,1,4,0,19,41,1,0,1,0,296,3,6,Matches
2134,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,29-202,1995,0.8,101,101,0,0,0,1,0,0,0,0,0,0,89,0,1,Matches
2135,Alen Sherri,al ALB,GK,Cagliari,it Serie A,27-046,1997,6.0,198,138,60,12,0,0,0,0,0,0,0,0,149,0,0,Matches
2136,Eldor Shomurodov,uz UZB,"FW,MF",Roma,it Serie A,29-215,1995,2.1,48,45,3,0,0,0,2,0,0,0,0,0,36,0,3,Matches
2137,Djibril Sidibé,fr FRA,DF,Toulouse,fr Ligue 1,32-185,1992,12.1,688,583,103,28,5,3,26,71,0,0,0,0,550,2,11,Matches
2138,Armindo Sieb,de GER,"FW,MF",Mainz 05,de Bundesliga,21-348,2003,7.4,171,162,7,0,1,0,5,1,0,0,0,0,120,2,4,Matches
2139,Vincent Sierro,ch SUI,MF,Toulouse,fr Ligue 1,29-114,1995,13.7,780,697,81,40,6,5,48,2,29,9,18,0,590,2,8,Matches
2140,Tim Siersleben,de GER,DF,Heidenheim,de Bundesliga,24-327,2000,2.8,126,120,6,3,0,1,2,2,0,0,0,0,102,0,0,Matches
2141,Zain Silcott-Duberry,ms MSR,FW,Bournemouth,eng Premier League,19-205,2005,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches
2142,Kiliann Sildillia,fr FRA,"DF,FW",Freiburg,de Bundesliga,22-259,2002,0.9,49,41,7,0,0,0,2,7,0,0,0,0,37,1,0,Matches
2143,André Silva,pt POR,"FW,MF",RB Leipzig,de Bundesliga,29-085,1995,1.5,42,35,6,0,1,0,0,1,0,0,0,0,30,1,4,Matches
2144,Bernardo Silva,pt POR,"MF,FW",Manchester City,eng Premier League,30-173,1994,20.3,1160,1070,89,36,3,4,44,34,11,2,0,0,1001,1,24,Matches
2145,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,fr Ligue 1,27-183,1997,8.2,585,465,118,26,2,1,54,70,22,12,7,0,456,2,10,Matches
2146,Fábio Silva,pt POR,FW,Las Palmas,es La Liga,22-195,2002,13.4,294,263,31,1,1,2,14,5,0,0,0,0,183,0,16,Matches
2147,Jota Silva,pt POR,"FW,MF",Nott'ham Forest,eng Premier League,25-182,1999,7.7,156,153,1,0,1,1,18,0,1,0,0,0,92,2,11,Matches
2148,Eric da Silva Moreira,de GER,"MF,DF",Nott'ham Forest,eng Premier League,18-272,2006,0.3,8,6,2,0,0,0,0,2,0,0,0,0,7,0,0,Matches
2149,Rui Silva,pt POR,GK,Betis,es La Liga,30-358,1994,15.0,524,404,118,42,0,0,0,0,0,0,0,0,412,2,0,Matches
2150,Abdallah Sima,sn SEN,FW,Brest,fr Ligue 1,23-227,2001,6.3,150,147,3,1,0,0,9,2,0,0,0,0,103,0,5,Matches
2151,Mohamed Simakan,fr FRA,DF,RB Leipzig,de Bundesliga,24-272,2000,0.6,50,44,6,0,0,0,1,6,0,0,0,0,42,0,1,Matches
2152,Giovanni Simeone,ar ARG,FW,Napoli,it Serie A,29-209,1995,3.3,82,81,1,0,1,1,2,0,0,0,0,0,59,0,4,Matches
2153,Giuliano Simeone,ar ARG,"MF,DF",Atlético Madrid,es La Liga,22-043,2002,8.8,383,366,16,0,1,0,22,15,1,0,0,0,292,1,17,Matches
2154,Moses Simon,ng NGA,"FW,MF",Nantes,fr Ligue 1,29-202,1995,15.9,473,403,70,13,3,1,122,15,41,24,13,0,294,0,33,Matches
2155,Unai Simón,es ESP,GK,Athletic Club,es La Liga,27-233,1997,4.0,124,97,27,10,0,0,0,0,0,0,0,0,86,0,0,Matches
2156,Xavi Simons,nl NED,MF,RB Leipzig,de Bundesliga,21-284,2003,10.3,530,471,55,18,9,0,37,4,24,7,10,0,419,4,11,Matches
2157,Jahmai Simpson-Pusey,eng ENG,DF,Manchester City,eng Premier League,19-087,2005,1.1,115,110,5,3,0,0,0,1,0,0,0,0,107,0,0,Matches
2158,Danel Sinani,lu LUX,"FW,MF",St. Pauli,de Bundesliga,27-300,1997,4.4,169,157,11,1,3,1,10,2,6,3,1,0,123,1,2,Matches
2159,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,25-053,1999,15.1,412,394,17,1,1,0,19,1,0,0,0,0,313,1,15,Matches
2160,Wilfried Singo,ci CIV,DF,Monaco,fr Ligue 1,24-036,2000,13.2,845,782,58,37,0,8,9,21,0,0,0,0,716,5,5,Matches
2161,Luis Sinisterra,co COL,"FW,MF",Bournemouth,eng Premier League,25-227,1999,2.3,70,69,0,0,0,1,5,0,0,0,0,0,54,1,3,Matches
2162,Daley Sinkgraven,nl NED,DF,Las Palmas,es La Liga,29-210,1995,1.0,66,59,7,2,0,0,4,5,0,0,0,0,50,0,1,Matches
2163,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,es La Liga,29-145,1995,5.0,351,344,7,6,0,2,1,0,0,0,0,0,316,0,4,Matches
2164,Ibrahim Sissoko,ml MLI,FW,Saint-Étienne,fr Ligue 1,29-064,1995,8.9,164,143,20,0,1,2,2,0,0,0,0,0,108,1,7,Matches
2165,Ibrahima Sissoko,ml MLI,MF,Bochum,de Bundesliga,27-095,1997,16.9,582,574,7,1,2,2,13,2,0,0,0,0,434,1,13,Matches
2166,Niama Sissoko,ml MLI,FW,Reims,fr Ligue 1,19-045,2005,0.2,5,5,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches
2167,Antonio Sivera,es ESP,GK,Alavés,es La Liga,28-172,1996,17.6,547,343,203,87,0,0,0,0,0,0,0,0,317,1,1,Matches
2168,Tim Skarke,de GER,"FW,MF",Union Berlin,de Bundesliga,28-145,1996,6.9,184,180,3,0,0,1,12,0,0,0,0,0,132,1,9,Matches
2169,Ellyes Skhiri,tn TUN,MF,Eint Frankfurt,de Bundesliga,29-265,1995,14.0,732,717,15,15,1,0,2,0,0,0,0,0,648,0,12,Matches
