Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
61,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20-289,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches
62,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,27-045,1997,16,15,1342,14.9,1,1,2,1,0,0,3,0,0.5,0.5,1.0,1.5,29,35,52,0.07,0.07,0.13,0.07,0.13,0.03,0.07,0.10,0.03,0.10,Matches
63,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22-340,2002,17,13,1195,13.3,3,5,8,3,0,0,1,0,3.9,3.9,4.5,8.4,60,89,114,0.23,0.38,0.60,0.23,0.60,0.29,0.34,0.64,0.29,0.64,Matches
64,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-067,2001,18,16,1426,15.8,0,0,0,0,0,0,3,0,0.1,0.1,0.4,0.5,20,53,23,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03,Matches
65,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,32-111,1992,4,3,228,2.5,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
66,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22-351,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
67,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29-286,1995,18,14,1331,14.8,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,8,57,11,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
68,David Alaba,at AUT,DF,Real Madrid,es La Liga,32-220,1992,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
69,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34-313,1990,13,0,61,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.48,0.00,1.48,1.48,1.48,0.92,0.14,1.06,0.92,1.06,Matches
70,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,39-148,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
71,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,22-061,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches
72,Omar Alderete,py PAR,DF,Getafe,es La Liga,28-035,1996,20,20,1783,19.8,0,0,0,0,0,0,5,0,0.6,0.6,0.9,1.5,22,77,4,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
73,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,27-025,1998,9,5,438,4.9,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,9,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.21,0.19,0.21,Matches
74,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,26-115,1998,21,20,1665,18.5,1,6,7,1,0,0,4,0,1.0,1.0,6.3,7.4,41,155,75,0.05,0.32,0.38,0.05,0.38,0.05,0.34,0.40,0.05,0.40,Matches
75,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25-271,1999,12,4,434,4.8,1,1,2,1,0,0,0,1,2.4,2.4,1.7,4.0,33,9,49,0.21,0.21,0.41,0.21,0.41,0.49,0.35,0.84,0.49,0.84,Matches
76,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,21-011,2004,15,13,963,10.7,3,2,5,3,0,0,1,0,2.0,2.0,2.7,4.7,39,31,83,0.28,0.19,0.47,0.28,0.47,0.19,0.25,0.44,0.19,0.44,Matches
77,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23-196,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
78,Alisson,br BRA,GK,Liverpool,eng Premier League,32-120,1992,14,14,1248,13.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
79,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25-345,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
80,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-338,1995,15,14,1008,11.2,0,3,3,0,0,0,3,0,2.0,2.0,2.1,4.2,24,33,54,0.00,0.27,0.27,0.00,0.27,0.18,0.19,0.37,0.18,0.37,Matches
