Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
51,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,24-035,2000,14,1206,86,63.8,13.4,14,86,12,0,,5,2.21,22,9,+13,+0.97,+0.97,19.0,11.0,+8.0,+0.60,+0.35,Matches
52,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22-356,2002,19,1026,54,54.3,11.4,12,80,4,7,10,1,1.26,11,21,-10,-0.88,-1.29,11.4,17.6,-6.3,-0.55,-0.86,Matches
53,Saad Agouzoul,ma MAR,DF,Auxerre,fr Ligue 1,27-173,1997,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
54,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,25-125,1999,10,799,80,46.7,8.9,10,80,4,0,,0,1.50,14,20,-6,-0.68,-0.97,11.8,11.9,-0.1,-0.02,0.00,Matches
55,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28-274,1996,10,325,33,17.2,3.6,3,68,0,7,17,9,0.80,3,6,-3,-0.83,-0.26,3.5,6.5,-3.0,-0.83,-0.10,Matches
56,Diego Aguado,es ESP,DF,Real Madrid,es La Liga,17-358,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
57,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,22-133,2002,2,5,3,0.3,0.1,0,,0,2,3,3,3.00,0,0,0,0.00,-1.43,0.2,0.0,+0.2,+3.53,+2.44,Matches
58,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28-306,1996,15,1279,85,67.7,14.2,15,85,12,0,,2,1.60,14,8,+6,+0.42,+1.31,20.0,14.2,+5.8,+0.41,+1.01,Matches
59,Lalo Aguilar,es ESP,DF,Leganés,es La Liga,22-233,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
60,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,31-279,1993,6,279,47,16.3,3.1,3,81,2,3,12,3,2.00,3,0,+3,+0.97,+0.84,5.6,2.3,+3.4,+1.08,+0.73,Matches
61,Naouirou Ahamada,fr FRA,MF,Crystal Palace,eng Premier League,22-307,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
62,Naouirou Ahamada,fr FRA,FW,Rennes,fr Ligue 1,22-307,2002,1,4,4,0.2,0.0,0,,0,1,4,8,0.00,0,0,0,0.00,+0.21,0.0,0.2,-0.2,-4.46,-4.40,Matches
63,Honest Ahanor,it ITA,DF,Genoa,it Serie A,16-342,2008,2,85,43,4.3,0.9,1,68,0,1,17,10,1.50,1,2,-1,-1.06,-0.63,0.8,2.1,-1.2,-1.31,-1.05,Matches
64,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,23-108,2001,5,43,9,2.5,0.5,0,,0,5,9,5,1.20,1,1,0,0.00,+0.22,1.7,1.3,+0.5,+0.98,+1.22,Matches
65,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30-316,1994,18,1348,75,78.8,15.0,18,75,5,0,,0,1.22,15,20,-5,-0.33,+0.16,15.9,19.9,-4.0,-0.26,-0.04,Matches
66,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,29-123,1995,1,2,2,0.1,0.0,0,,0,1,2,13,3.00,1,0,+1,+45.00,+45.19,0.3,0.0,+0.3,+14.69,+14.46,Matches
67,Mike Aidoo,it ITA,DF,Inter,it Serie A,19-245,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
68,Romeo Aigbekaen,de GER,MF,St. Pauli,de Bundesliga,20-222,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
