Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
126,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19-362,2005,1,1,1,0.0,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+1.04,0.0,0.0,0.0,+2.92,+3.84,Matches
127,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,28-076,1996,14,829,59,43.9,9.2,11,67,1,3,32,2,0.57,7,17,-10,-1.09,+0.44,8.3,14.7,-6.4,-0.70,+0.18,Matches
128,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17-320,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
129,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-198,1996,9,316,35,16.7,3.5,5,57,0,4,7,12,0.78,2,6,-4,-1.14,+0.23,3.7,4.7,-1.0,-0.28,+0.62,Matches
130,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30-327,1994,11,790,72,46.2,8.8,8,87,4,3,33,4,1.18,8,18,-10,-1.14,-1.92,10.0,16.6,-6.6,-0.75,-0.51,Matches
131,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-183,2003,4,70,18,4.1,0.8,1,45,0,3,8,7,2.50,1,1,0,0.00,-0.99,1.4,2.1,-0.7,-0.95,-1.45,Matches
132,Kelvin Amian,fr FRA,"DF,MF",Nantes,fr Ligue 1,26-357,1998,16,1234,77,72.2,13.7,13,88,11,3,28,3,1.06,14,16,-2,-0.15,+0.80,13.3,19.8,-6.5,-0.47,-0.29,Matches
133,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28-354,1996,18,1424,79,83.3,15.8,15,90,14,3,26,0,2.00,33,18,+15,+0.95,+0.32,22.4,22.2,+0.3,+0.02,-1.42,Matches
134,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-095,1996,16,1285,80,75.1,14.3,16,80,11,0,,0,1.75,27,17,+10,+0.70,+0.70,21.9,18.1,+3.7,+0.26,+0.95,Matches
135,Samuel Amissah,eng ENG,DF,Fulham,eng Premier League,17-329,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
136,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-196,2006,2,28,14,1.4,0.3,0,,0,2,14,7,0.00,0,0,0,0.00,+1.63,0.3,1.1,-0.8,-2.50,-1.16,Matches
137,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-012,2006,17,859,51,50.2,9.5,9,77,3,8,21,1,0.71,8,20,-12,-1.26,-0.31,8.7,18.5,-9.8,-1.03,-0.22,Matches
138,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-266,2000,17,1381,81,80.8,15.3,16,84,5,1,45,0,1.47,34,28,+6,+0.39,-0.16,22.6,24.5,-1.9,-0.12,+0.03,Matches
139,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-162,1996,2,180,90,9.5,2.0,2,90,2,0,,0,1.00,1,1,0,0.00,-0.68,1.6,2.3,-0.7,-0.36,-0.83,Matches
140,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-244,1996,1,90,90,4.3,1.0,1,90,1,0,,0,0.00,1,2,-1,-1.00,-0.86,1.2,1.6,-0.4,-0.42,-0.43,Matches
141,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-244,1996,14,1233,88,59.6,13.7,14,88,13,0,,2,1.50,23,19,+4,+0.29,+0.40,22.8,15.4,+7.4,+0.55,+0.75,Matches
142,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-085,2002,22,1471,67,71.1,16.3,18,76,5,4,27,0,2.00,27,20,+7,+0.43,+0.58,20.3,18.7,+1.6,+0.10,-0.06,Matches
143,André,br BRA,MF,Wolves,eng Premier League,23-198,2001,18,1222,68,59.0,13.6,16,76,6,2,3,2,0.67,19,31,-12,-0.88,-0.03,12.1,23.3,-11.3,-0.83,-0.45,Matches
144,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-180,1990,17,1522,90,89.0,16.9,17,90,16,0,,0,1.65,27,19,+8,+0.47,-0.48,26.6,23.0,+3.6,+0.21,-0.96,Matches
145,Marcos André,br BRA,FW,Valladolid,es La Liga,28-102,1996,14,777,56,41.1,8.6,9,75,1,5,20,6,0.57,7,17,-10,-1.16,+0.30,7.4,12.4,-5.0,-0.58,+0.37,Matches
146,Francesco Andrealli,it ITA,MF,Como,it Serie A,17-178,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
147,Aleksandar Andreev,bg BUL,GK,Girona,es La Liga,18-311,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
148,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,30-130,1994,15,1060,71,62.0,11.8,13,80,6,2,9,4,2.20,26,14,+12,+1.02,-0.09,21.2,12.6,+8.6,+0.73,-0.35,Matches
149,Angeliño,es ESP,DF,Roma,it Serie A,28-026,1997,22,1889,86,95.4,21.0,22,86,19,0,,0,1.36,32,25,+7,+0.33,+2.31,31.2,25.7,+5.5,+0.26,+1.31,Matches
150,Mathys Angély,fr FRA,DF,Wolfsburg,de Bundesliga,17-284,2007,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
151,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19-339,2005,1,6,6,0.3,0.1,0,,0,1,6,0,3.00,0,0,0,0.00,-0.73,0.0,0.0,0.0,0.00,-0.50,Matches
152,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,23-068,2001,16,935,58,47.2,10.4,12,72,1,4,18,0,0.94,12,14,-2,-0.19,+0.32,9.2,12.0,-2.9,-0.28,+0.42,Matches
153,Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,eng Premier League,25-060,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
154,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28-194,1996,14,959,69,56.1,10.7,11,79,9,3,29,0,1.50,21,16,+5,+0.47,+0.95,16.0,14.1,+1.8,+0.17,+0.23,Matches
155,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,22-017,2003,1,11,11,0.6,0.1,0,,0,1,11,0,1.00,0,0,0,0.00,+0.29,0.3,0.2,+0.1,+0.67,+0.84,Matches
156,Kyllian Antonio,fr FRA,DF,Lens,fr Ligue 1,17-026,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
157,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34-308,1990,14,836,60,40.4,9.3,11,66,0,3,37,0,1.07,13,18,-5,-0.54,+0.26,11.4,17.8,-6.4,-0.69,-0.48,Matches
158,Antoniu,es ESP,MF,Espanyol,es La Liga,22-147,2002,10,385,39,20.4,4.3,5,61,0,5,16,8,0.90,3,4,-1,-0.23,+0.48,4.8,4.7,+0.1,+0.03,+0.98,Matches
159,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24-341,2000,8,141,18,6.8,1.6,0,,0,8,18,11,0.88,5,2,+3,+1.91,+2.24,4.7,2.2,+2.5,+1.60,+1.77,Matches
160,Anuar,ma MAR,"FW,MF",Valladolid,es La Liga,30-015,1995,12,866,72,45.8,9.6,10,80,4,2,34,1,0.83,7,15,-8,-0.83,+0.93,9.1,14.7,-5.6,-0.58,+0.40,Matches
161,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32-235,1992,18,1379,77,80.6,15.3,14,90,14,4,30,0,1.00,17,35,-18,-1.17,-0.36,16.6,31.3,-14.7,-0.96,-0.20,Matches
162,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26-365,1998,2,177,89,9.4,2.0,2,89,1,0,,1,2.00,3,2,+1,+0.51,+1.09,2.5,2.6,-0.2,-0.08,+0.88,Matches
163,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,29-122,1995,19,1281,67,67.8,14.2,15,79,10,4,23,0,1.05,13,14,-1,-0.07,-0.22,15.7,15.1,+0.6,+0.04,+0.86,Matches
164,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22-191,2002,18,1377,77,72.9,15.3,16,85,11,2,12,2,1.56,14,12,+2,+0.13,+0.48,19.1,15.3,+3.8,+0.25,+0.62,Matches
165,Egoitz Arana,es ESP,GK,Real Sociedad,es La Liga,22-346,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
166,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,23-170,2001,8,355,44,17.1,3.9,5,61,0,3,17,3,1.13,2,7,-5,-1.27,-2.32,4.8,6.7,-1.9,-0.49,-1.39,Matches
167,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25-329,1999,1,90,90,4.8,1.0,1,90,1,0,,3,1.00,1,1,0,0.00,-1.75,2.3,1.3,+1.0,+1.05,-0.30,Matches
168,Matías Árbol,es ESP,GK,Sevilla,es La Liga,22-140,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
169,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23-193,2001,21,1047,50,50.6,11.6,10,72,0,11,30,2,0.29,8,24,-16,-1.38,+0.47,12.0,27.9,-15.9,-1.37,-0.03,Matches
170,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28-216,1996,19,1454,77,85.0,16.2,18,78,10,1,46,0,1.16,19,23,-4,-0.25,+0.81,19.3,22.7,-3.4,-0.21,+0.31,Matches
171,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-338,1993,12,1000,83,48.3,11.1,11,86,10,1,55,7,1.00,14,24,-10,-0.90,-0.40,14.8,18.3,-3.4,-0.31,+0.18,Matches
172,Adu Ares,es ESP,FW,Athletic Club,es La Liga,23-110,2001,1,19,19,1.0,0.2,0,,0,1,19,2,0.00,0,1,-1,-4.74,-5.41,0.1,0.3,-0.2,-0.73,-1.21,Matches
173,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25-212,1999,20,1711,86,90.5,19.0,19,89,15,1,28,1,1.35,24,23,+1,+0.05,+3.07,21.0,23.2,-2.2,-0.11,+1.98,Matches
174,David Argüelles,es ESP,MF,Getafe,es La Liga,23-029,2002,1,7,7,0.4,0.1,0,,0,1,7,13,1.00,1,0,+1,+12.86,+12.90,1.4,0.0,+1.4,+17.47,+17.77,Matches
175,Joe Aribo,ng NGA,MF,Southampton,eng Premier League,28-193,1996,22,1375,63,66.4,15.3,14,79,5,8,35,1,0.27,13,36,-23,-1.51,+0.31,15.2,39.5,-24.3,-1.59,-0.69,Matches
176,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27-355,1997,20,1248,62,60.3,13.9,15,75,4,5,25,3,0.30,7,35,-28,-2.02,-1.03,12.8,32.4,-19.6,-1.41,-0.14,Matches
177,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,18-011,2007,3,48,16,2.4,0.5,0,,0,3,16,19,1.00,0,1,-1,-1.87,-1.50,0.7,0.4,+0.2,+0.44,+0.81,Matches
178,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29-290,1995,6,45,8,2.4,0.5,0,,0,6,8,10,0.17,0,1,-1,-2.00,-1.80,0.3,0.7,-0.3,-0.64,-0.35,Matches
179,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21-295,2003,11,701,64,41.0,7.8,8,78,3,3,27,0,1.73,9,9,0,0.00,-0.89,11.6,11.3,+0.3,+0.04,-0.48,Matches
180,Marko Arnautović,at AUT,FW,Inter,it Serie A,35-286,1989,7,99,14,5.2,1.1,0,,0,7,14,15,2.43,3,2,+1,+0.91,-0.90,2.4,0.9,+1.4,+1.29,+0.16,Matches
181,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30-248,1994,18,1566,87,91.6,17.4,18,87,16,0,,0,1.50,41,29,+12,+0.69,+3.19,27.2,28.5,-1.4,-0.08,+0.61,Matches
182,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,25-024,2000,14,432,31,25.3,4.8,2,73,0,12,24,4,0.43,11,11,0,0.00,+1.41,8.5,8.6,0.0,-0.01,+0.78,Matches
183,Sergio Arribas,es ESP,DF,Betis,es La Liga,21-355,2003,1,90,90,4.8,1.0,1,90,1,0,,0,3.00,1,0,+1,+1.00,+1.20,0.4,1.0,-0.6,-0.56,-0.70,Matches
184,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-119,1994,16,1440,90,69.6,16.0,16,90,16,0,,1,1.88,33,19,+14,+0.87,+0.73,33.6,18.5,+15.1,+0.94,+0.90,Matches
185,Ricard Artero,es ESP,MF,Girona,es La Liga,21-360,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
186,Arthur,br BRA,"DF,FW",Leverkusen,de Bundesliga,21-319,2003,9,365,41,21.3,4.1,4,81,2,5,8,7,2.44,11,4,+7,+1.73,+0.86,6.9,3.5,+3.4,+0.83,-0.04,Matches
187,Benjamin Arthur,eng ENG,DF,Brentford,eng Premier League,19-113,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
188,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,30-081,1994,10,439,44,23.2,4.9,5,67,0,5,21,2,1.10,4,4,0,0.00,+0.43,5.0,3.9,+1.0,+0.21,+0.32,Matches
189,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21-352,2003,9,513,57,27.1,5.7,5,85,4,4,22,1,2.67,16,4,+12,+2.11,+0.93,16.7,3.9,+12.7,+2.23,+1.56,Matches
190,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,29-009,1996,12,618,52,36.1,6.9,8,72,2,4,12,5,2.50,19,5,+14,+2.04,+0.56,21.0,6.6,+14.4,+2.10,+0.76,Matches
191,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22-327,2002,13,531,41,28.1,5.9,5,77,2,8,18,7,2.31,13,6,+7,+1.19,-0.80,11.6,4.8,+6.8,+1.15,+0.02,Matches
192,Ank Asmussen,dk DEN,FW,Empoli,it Serie A,19-339,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
193,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,37-182,1987,16,1206,75,63.8,13.4,13,85,8,3,32,1,1.31,20,20,0,0.00,+0.39,19.7,13.5,+6.2,+0.46,+0.58,Matches
194,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21-072,2003,12,770,64,40.7,8.6,9,76,3,3,29,1,1.33,13,11,+2,+0.23,+0.39,13.3,9.5,+3.8,+0.45,+0.62,Matches
195,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,24-222,2000,17,1125,66,65.8,12.5,13,80,7,4,23,0,0.94,18,18,0,0.00,+0.62,14.4,14.1,+0.3,+0.02,+0.25,Matches
196,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19-288,2005,7,53,8,3.1,0.6,0,,0,7,8,6,0.57,1,1,0,0.00,+0.38,1.7,0.6,+1.1,+1.90,+2.37,Matches
197,Ander Astralaga,es ESP,GK,Barcelona,es La Liga,20-333,2004,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
198,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-158,2005,19,1577,83,92.2,17.5,19,83,10,0,,0,1.16,23,25,-2,-0.11,-0.11,20.9,27.3,-6.4,-0.37,-0.03,Matches
199,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-016,2003,12,251,21,12.7,2.8,0,,0,12,21,3,1.08,1,5,-4,-1.43,-1.17,1.3,4.8,-3.4,-1.23,-0.85,Matches
200,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-250,2002,16,1440,90,84.2,16.0,16,90,16,0,,1,1.50,23,29,-6,-0.37,+0.96,20.0,21.3,-1.3,-0.08,+0.07,Matches
201,Emil Audero,it ITA,GK,Como,it Serie A,28-012,1997,8,720,90,36.4,8.0,8,90,8,0,,14,1.00,11,18,-7,-0.87,-0.73,9.7,11.3,-1.6,-0.20,-0.52,Matches
202,Tommaso Augello,it ITA,"DF,FW",Cagliari,it Serie A,30-153,1994,22,1397,64,70.6,15.5,16,80,9,6,20,0,0.95,15,27,-12,-0.77,-0.62,19.3,25.5,-6.2,-0.40,-0.19,Matches
203,Carlos Augusto,br BRA,"DF,FW",Inter,it Serie A,26-023,1999,14,690,49,36.5,7.7,6,87,5,8,21,3,2.36,20,5,+15,+1.96,+0.31,16.5,5.3,+11.3,+1.47,+0.52,Matches
204,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-062,2000,13,816,63,43.2,9.1,9,78,5,4,29,5,2.50,26,8,+18,+1.99,+0.39,19.3,7.0,+12.2,+1.35,+0.37,Matches
205,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,26-022,1999,1,90,90,4.3,1.0,1,90,1,0,,11,0.00,1,2,-1,-1.00,-1.45,0.9,2.5,-1.6,-1.57,-1.65,Matches
206,Ezequiel Ávila,ar ARG,FW,Betis,es La Liga,30-359,1994,15,574,38,30.4,6.4,6,62,1,9,22,2,1.40,8,6,+2,+0.31,+0.66,10.1,8.1,+2.0,+0.31,+0.29,Matches
207,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,27-171,1997,18,248,14,12.0,2.8,2,54,0,16,9,5,1.83,1,6,-5,-1.81,-2.36,3.5,4.0,-0.5,-0.19,-0.34,Matches
208,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,21-116,2003,20,1267,63,61.2,14.1,14,78,5,6,28,2,1.50,17,15,+2,+0.14,-0.08,18.2,18.6,-0.4,-0.03,+0.11,Matches
209,Florian Ayé,fr FRA,FW,Auxerre,fr Ligue 1,28-011,1997,14,331,24,19.4,3.7,3,68,0,11,12,5,0.93,6,6,0,0.00,+0.26,5.5,7.5,-2.0,-0.53,+0.07,Matches
210,André Ayew,gh GHA,FW,Le Havre,fr Ligue 1,35-044,1989,12,817,68,47.8,9.1,9,82,5,3,25,0,0.58,5,17,-12,-1.32,-0.11,8.3,17.7,-9.4,-1.04,-0.46,Matches
211,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,33-141,1991,1,21,21,1.0,0.2,0,,0,1,21,0,0.00,0,1,-1,-4.29,-4.15,0.7,1.0,-0.2,-0.99,-0.99,Matches
212,Jordan Ayew,gh GHA,"FW,MF",Leicester City,eng Premier League,33-141,1991,20,1080,54,52.2,12.0,12,80,2,8,15,1,0.80,13,28,-15,-1.25,-0.43,11.6,19.3,-7.7,-0.64,+0.57,Matches
213,Neil El Aynaoui,fr FRA,MF,Lens,fr Ligue 1,23-212,2001,10,388,39,22.7,4.3,3,75,1,7,23,1,1.40,7,6,+1,+0.23,-0.04,7.9,5.1,+2.8,+0.65,+0.24,Matches
214,Ayman Azhil,ma MAR,MF,Dortmund,de Bundesliga,23-295,2001,1,24,24,1.4,0.3,0,,0,1,24,6,3.00,0,0,0,0.00,-0.05,0.5,0.3,+0.1,+0.53,+0.47,Matches
215,Adam Aznou,ma MAR,DF,Bayern Munich,de Bundesliga,18-242,2006,1,11,11,0.6,0.1,0,,0,1,11,11,3.00,0,0,0,0.00,-2.22,0.2,0.0,+0.2,+1.50,-0.35,Matches
216,César Azpilicueta,es ESP,DF,Atlético Madrid,es La Liga,35-155,1989,7,525,75,27.8,5.8,6,80,4,1,45,8,1.86,10,4,+6,+1.03,+0.04,10.6,5.5,+5.1,+0.87,+0.01,Matches
217,Paulo Azzi,br BRA,DF,Cagliari,it Serie A,30-199,1994,6,426,71,21.5,4.7,5,79,3,1,31,15,0.33,1,5,-4,-0.85,-0.32,5.8,5.9,-0.1,-0.02,+0.40,Matches
218,Oussama El Azzouzi,ma MAR,MF,Bologna,it Serie A,23-246,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
219,Papa Ba,es ESP,MF,Girona,es La Liga,20-140,2004,1,48,48,2.5,0.5,0,,0,1,48,2,0.00,0,0,0,0.00,0.00,0.2,0.5,-0.3,-0.60,-0.70,Matches
220,Shavy Babicka,ga GAB,"MF,FW",Toulouse,fr Ligue 1,24-243,2000,18,563,31,32.9,6.3,4,74,1,14,19,0,1.33,8,10,-2,-0.32,-0.40,12.2,5.9,+6.3,+1.01,+0.85,Matches
221,Jacopo Bacci,it ITA,MF,Empoli,it Serie A,19-225,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
222,Iker Bachiller,es ESP,DF,Leganés,es La Liga,22-138,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
223,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,20-289,2004,0,,,,,0,,0,0,,18,,,,,,,,,,,,Matches
224,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,de Bundesliga,22-049,2002,5,91,18,5.3,1.0,0,,0,5,18,1,0.00,0,3,-3,-2.97,-1.80,0.9,4.5,-3.6,-3.56,-2.81,Matches
225,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,24-294,2000,17,1461,86,77.3,16.2,16,90,16,1,21,1,1.35,21,23,-2,-0.12,+0.72,18.4,21.2,-2.8,-0.17,-0.07,Matches
226,Milan Badelj,hr CRO,MF,Genoa,it Serie A,35-340,1989,18,1225,68,61.9,13.6,17,70,4,1,29,2,1.22,10,13,-3,-0.22,+0.61,13.8,17.4,-3.6,-0.26,+0.11,Matches
227,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,23-310,2001,4,249,62,12.0,2.8,2,90,2,2,35,7,2.25,7,4,+3,+1.08,+0.49,6.6,4.3,+2.3,+0.83,+0.26,Matches
228,Alex Baena,es ESP,"MF,FW",Villarreal,es La Liga,23-194,2001,19,1550,82,82.0,17.2,18,84,9,1,45,0,1.68,35,25,+10,+0.58,+1.37,32.4,17.4,+15.0,+0.87,+1.49,Matches
229,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,20-322,2004,0,,,,,0,,0,0,,20,,,,,,,,,,,,Matches
230,Juma Bah,sl SLE,DF,Valladolid,es La Liga,18-294,2006,12,864,72,45.7,9.6,10,84,8,2,11,3,0.92,6,18,-12,-1.25,+0.15,8.9,16.3,-7.4,-0.77,+0.05,Matches
231,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,27-174,1997,19,990,52,47.8,11.0,13,66,2,6,22,2,1.47,20,15,+5,+0.45,+0.95,18.3,11.2,+7.1,+0.65,+0.77,Matches
232,Eric Bailly,ci CIV,DF,Villarreal,es La Liga,30-293,1994,9,579,64,30.6,6.4,7,72,3,2,39,7,1.56,11,14,-3,-0.47,-1.15,11.2,9.0,+2.2,+0.34,-0.38,Matches
233,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,25-156,1999,17,443,26,25.9,4.9,4,56,0,13,17,2,1.35,8,6,+2,+0.41,+0.83,7.0,8.6,-1.6,-0.32,+0.37,Matches
234,Cédric Bakambu,cd COD,FW,Betis,es La Liga,33-294,1991,12,367,31,19.4,4.1,3,60,0,9,21,4,1.23,6,4,+2,+0.49,+0.79,6.4,5.2,+1.3,+0.31,+0.25,Matches
235,Mitchel Bakker,nl NED,MF,Atalanta,it Serie A,24-224,2000,1,22,22,1.1,0.2,0,,0,1,22,0,3.00,0,0,0,0.00,-1.06,0.2,0.6,-0.4,-1.67,-2.41,Matches
236,Mitchel Bakker,nl NED,"DF,FW",Lille,fr Ligue 1,24-224,2000,12,549,46,32.1,6.1,6,70,1,6,22,1,1.50,12,7,+5,+0.82,+0.43,10.6,8.9,+1.8,+0.28,-0.05,Matches
237,Darryl Bakola,fr FRA,DF,Marseille,fr Ligue 1,17-061,2007,1,12,12,0.7,0.1,0,,0,1,12,6,1.50,0,3,-3,-22.50,-23.56,0.0,0.4,-0.4,-3.03,-3.31,Matches
238,Ridle Baku,de GER,"FW,MF",Wolfsburg,de Bundesliga,26-297,1998,15,1170,78,68.4,13.0,14,82,8,1,26,0,1.40,27,23,+4,+0.31,-0.36,19.4,22.5,-3.1,-0.24,-0.34,Matches
239,Ridle Baku,de GER,"DF,MF",RB Leipzig,de Bundesliga,26-297,1998,4,212,53,12.4,2.4,2,81,1,2,25,0,1.25,6,6,0,0.00,-0.30,3.4,6.0,-2.6,-1.11,-0.99,Matches
240,Dilane Bakwa,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,22-157,2002,18,1553,86,90.8,17.3,18,86,10,0,,0,1.33,29,29,0,0.00,-1.15,24.8,31.3,-6.5,-0.38,+0.09,Matches
241,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,21-313,2003,16,471,29,23.8,5.2,2,68,0,14,24,6,1.25,9,8,+1,+0.19,-0.05,8.5,5.7,+2.8,+0.54,+0.45,Matches
242,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-104,2003,19,1437,76,76.0,16.0,17,82,10,2,24,2,2.00,47,15,+32,+2.00,+1.41,43.9,18.2,+25.8,+1.61,+1.17,Matches
243,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-027,2004,20,1520,76,73.4,16.9,18,81,8,2,32,2,1.50,27,20,+7,+0.41,+0.91,23.6,22.7,+0.9,+0.05,+0.46,Matches
244,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-004,1999,16,1354,85,79.2,15.0,16,85,15,0,,1,1.94,32,19,+13,+0.86,-0.15,28.8,19.6,+9.2,+0.61,+1.72,Matches
245,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-029,1992,16,738,46,39.0,8.2,7,85,6,9,16,5,1.56,6,8,-2,-0.24,-0.48,6.8,13.3,-6.5,-0.80,-1.18,Matches
246,Botond Balogh,hu HUN,DF,Parma,it Serie A,22-238,2002,20,1575,79,79.5,17.5,19,82,14,1,26,0,0.95,21,26,-5,-0.29,+1.05,20.9,33.2,-12.3,-0.70,-0.33,Matches
247,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,23-211,2001,7,469,67,27.4,5.2,6,74,2,1,27,1,2.29,10,4,+6,+1.15,+0.86,10.1,4.7,+5.4,+1.03,-0.05,Matches
248,Mario Balotelli,it ITA,"FW,MF",Genoa,it Serie A,34-171,1990,6,62,10,3.1,0.7,0,,0,6,10,3,1.50,1,0,+1,+1.45,+1.97,0.8,0.7,+0.1,+0.10,+0.42,Matches
249,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,34-280,1990,9,655,73,38.3,7.3,7,86,5,2,27,10,0.78,3,11,-8,-1.10,-1.18,6.9,8.1,-1.2,-0.16,+0.15,Matches
250,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,18-200,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
251,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,es La Liga,28-310,1996,12,811,68,42.9,9.0,10,76,4,2,26,4,0.92,10,20,-10,-1.11,-1.69,13.1,11.2,+1.9,+0.21,-0.08,Matches
252,Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,20-114,2004,2,10,5,0.6,0.1,0,,0,2,5,6,0.00,0,1,-1,-9.00,-8.95,0.2,0.3,-0.2,-1.52,-1.16,Matches
253,Samuel Bamba,de GER,"FW,MF",Bochum,de Bundesliga,20-352,2004,3,10,3,0.6,0.1,0,,0,3,3,7,1.00,0,0,0,0.00,+1.27,0.3,0.0,+0.2,+1.87,+2.79,Matches
