Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
79,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25-345,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0,Matches
80,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29-338,1995,11.2,402,8,75,181,155,41,402,27,4,14.8,23,85.2,249,1709,661,24,19,4,20,19,282,54,Matches
81,Thiago Almada,ar ARG,FW,Lyon,fr Ligue 1,23-279,2001,0.3,22,0,8,10,4,1,22,0,0,,0,,14,66,36,1,0,1,0,0,13,0,Matches
82,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24-245,2000,10.9,543,8,65,297,186,24,543,21,9,42.9,10,47.6,308,1457,690,18,20,5,20,22,386,38,Matches
83,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20-271,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10,Matches
84,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30-355,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
85,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25-204,1999,7.4,322,6,41,110,179,34,322,39,12,30.8,25,64.1,208,1481,747,28,11,14,14,7,231,60,Matches
86,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-033,1990,15.0,1287,114,522,642,144,11,1287,13,7,53.8,5,38.5,838,4987,2894,27,15,1,10,2,895,28,Matches
87,Giorgio Altare,it ITA,DF,Venezia,it Serie A,26-174,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5,Matches
88,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23-308,2001,9.6,425,48,153,196,85,1,425,21,8,38.1,9,42.9,186,1041,524,14,11,1,13,3,205,25,Matches
89,Sergi Altimira,es ESP,MF,Betis,es La Liga,23-158,2001,13.3,918,28,177,590,157,10,918,10,9,90.0,1,10.0,544,2206,895,13,8,0,13,12,646,16,Matches
90,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,27-098,1997,13.7,835,52,257,457,128,8,835,24,11,45.8,9,37.5,460,2500,1149,14,13,2,19,11,554,14,Matches
91,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21-212,2003,14.4,1000,19,217,393,398,66,1000,62,27,43.5,34,54.8,602,3337,1961,64,34,34,26,11,669,128,Matches
92,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,24-365,2000,15.2,648,5,56,270,331,58,648,30,16,53.3,14,46.7,399,2242,1139,46,29,14,32,21,483,92,Matches
93,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,30-006,1995,11.0,753,50,302,417,39,8,753,7,4,57.1,3,42.9,416,2761,1887,13,7,0,6,4,481,0,Matches
94,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22-271,2002,1.5,89,7,27,47,15,1,89,1,1,100.0,0,0.0,49,231,101,0,1,0,3,3,52,0,Matches
95,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19-362,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
96,Selim Amallah,ma MAR,"MF,FW",Valladolid,es La Liga,28-076,1996,9.2,351,3,53,187,115,13,350,37,18,48.6,15,40.5,187,1094,489,15,9,4,18,12,208,15,Matches
97,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28-198,1996,3.5,126,3,18,54,55,10,126,11,4,36.4,7,63.6,81,415,198,7,5,2,10,3,93,21,Matches
98,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30-327,1994,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21,Matches
99,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21-183,2003,0.8,55,9,20,31,4,1,55,1,1,100.0,0,0.0,31,122,49,1,0,0,0,0,35,1,Matches
100,Kelvin Amian,fr FRA,"DF,MF",Nantes,fr Ligue 1,26-357,1998,13.7,635,41,196,270,178,10,635,13,7,53.8,6,46.2,279,1279,667,22,20,1,10,9,330,49,Matches
101,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28-354,1996,15.8,1209,53,350,678,187,16,1209,18,9,50.0,9,50.0,654,2824,1384,17,16,5,15,7,834,50,Matches
102,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-095,1996,14.3,1087,27,197,587,316,28,1085,34,17,50.0,16,47.1,561,2657,1172,25,15,8,21,16,669,41,Matches
103,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18-196,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
104,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,19-012,2006,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17,Matches
105,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24-266,2000,15.3,603,8,61,226,335,73,603,55,22,40.0,28,50.9,342,2427,1323,54,35,20,42,11,391,124,Matches
106,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,28-162,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Matches
107,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28-244,1996,1.0,93,14,38,50,5,0,93,0,0,,0,,49,189,103,1,1,0,0,1,67,1,Matches
108,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28-244,1996,13.7,1137,149,592,507,47,11,1137,3,3,100.0,0,0.0,683,2895,1405,6,6,1,2,1,810,1,Matches
109,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-085,2002,16.3,979,54,241,426,329,45,979,52,26,50.0,20,38.5,501,2751,1351,32,23,12,37,21,565,57,Matches
110,André,br BRA,MF,Wolves,eng Premier League,23-198,2001,13.6,751,63,230,458,67,1,751,14,6,42.9,5,35.7,383,1614,722,5,8,0,13,11,491,4,Matches
111,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,34-180,1990,16.9,1321,41,233,856,238,32,1321,14,5,35.7,8,57.1,664,3031,1408,17,21,0,28,19,903,39,Matches
