Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
138,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29-290,1995,0.5,2,4.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
139,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21-295,2003,7.8,21,2.70,16,2,0,0,2,1,1,0.13,1,0,0,0,0,0,Matches
140,Marko Arnautović,at AUT,FW,Inter,it Serie A,35-286,1989,1.1,4,3.64,4,0,0,0,0,0,1,0.91,1,0,0,0,0,0,Matches
141,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30-248,1994,17.4,55,3.16,29,21,1,1,3,0,9,0.52,3,6,0,0,0,0,Matches
142,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,25-024,2000,4.8,21,4.37,13,3,1,1,3,0,2,0.42,1,1,0,0,0,0,Matches
143,Sergio Arribas,es ESP,DF,Betis,es La Liga,21-355,2003,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
144,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,30-119,1994,16.0,3,0.19,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
145,Arthur,br BRA,"DF,FW",Leverkusen,de Bundesliga,21-319,2003,4.1,3,0.74,3,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
146,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,30-081,1994,4.9,6,1.23,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
147,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,21-352,2003,5.7,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
148,Marco Asensio,es ESP,"FW,MF",Paris S-G,fr Ligue 1,29-009,1996,6.9,37,5.39,27,2,2,6,0,0,7,1.02,7,0,0,0,0,0,Matches
149,Kristjan Asllani,al ALB,MF,Inter,it Serie A,22-327,2002,5.9,22,3.73,15,5,0,1,1,0,2,0.34,1,1,0,0,0,0,Matches
150,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,37-182,1987,13.4,44,3.28,37,1,2,2,2,0,8,0.60,6,0,0,1,1,0,Matches
151,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,21-072,2003,8.6,38,4.44,30,5,2,1,0,0,6,0.70,4,2,0,0,0,0,Matches
152,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,24-222,2000,12.5,31,2.48,21,6,2,1,0,1,5,0.40,4,0,0,1,0,0,Matches
153,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,fr Ligue 1,19-288,2005,0.6,6,10.19,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
154,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,19-158,2005,17.5,29,1.66,21,0,3,1,2,2,1,0.06,1,0,0,0,0,0,Matches
155,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-016,2003,2.8,8,2.86,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
156,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22-250,2002,16.0,5,0.31,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
157,Emil Audero,it ITA,GK,Como,it Serie A,28-012,1997,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
158,Tommaso Augello,it ITA,"DF,FW",Cagliari,it Serie A,30-153,1994,15.5,43,2.77,27,13,3,0,0,0,4,0.26,4,0,0,0,0,0,Matches
159,Carlos Augusto,br BRA,"DF,FW",Inter,it Serie A,26-023,1999,7.7,6,0.78,3,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
160,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-062,2000,9.1,10,1.10,8,0,0,1,0,1,1,0.11,1,0,0,0,0,0,Matches
